,category,num transactions,profit_per_order avg,profit_per_order std,p-value,stationary state,risk to reward
0,Caguas,5964,21.202876781326626,92.69195081108461,0.0022799772002279977,[0.00117375 0.05785373 0.51567775 0.34781512 0.03655913 0.04092052],0.09121153601779293
1,New Brunswick,12,30.064204375,65.11585838798729,0.02210977890221098,N/A,N/A
2,Aurora,86,42.21655877093023,74.30700023840014,0.021979780202197978,[0.         0.07100592 0.64528184 0.23668639 0.02398007 0.02304578],0.43350981002802874
3,Lindenhurst,9,8.173065900000001,39.31813770145935,0.03908960910390896,N/A,N/A
4,Harvey,28,57.14746918785714,55.249566794988716,0.033569664303356964,[0.         0.14814815 0.62962963 0.18518519 0.03703704 0.        ],0.6666666666666669
5,Glendale,48,-10.508987715208335,152.5539100737999,0.02231977680223198,[0.         0.12765957 0.34042553 0.38297872 0.06382979 0.08510638],-0.1702127659574473
6,Porterville,21,-29.462293466666672,88.558131256796,0.0016699833001669983,[0.  0.  0.2 0.6 0.1 0.1],-0.899999999999999
7,Houston,86,43.82965075,52.33687464308749,0.047449525504744954,[0.         0.07058824 0.6        0.30588235 0.01176471 0.01176471],0.376470588235294
8,Vallejo,13,24.51467115384615,63.26530284918098,0.021449785502144977,N/A,N/A
9,Stafford,8,-40.9355907125,114.91972633123335,0.01073989260107399,N/A,N/A
10,Clovis,13,-13.475325092307694,127.79773724674143,0.035309646903530965,N/A,N/A
11,Westerville,15,68.2536316,59.83432091547781,0.0027099729002709972,N/A,N/A
12,Pekin,16,47.840446512499994,29.432201541369647,0.027529724702752972,N/A,N/A
13,Hamilton,9,-31.700219888888892,146.3723345051561,0.048289517104828955,N/A,N/A
14,Salina,24,51.55729795833333,50.01035118849472,0.023359766402335978,[0.         0.08333333 0.66666667 0.20833333 0.04166667 0.        ],0.5416666666666664
15,Oxnard,17,70.58095799411764,66.65079024921656,0.01733982660173398,N/A,N/A
16,Ogden,9,70.241699,36.50179489021321,0.033059669403305965,N/A,N/A
17,Phoenix,45,32.8037834488889,117.53349372213226,0.012929870701292987,[0.         0.13953488 0.53488372 0.25581395 0.04651163 0.02325581],0.39534883720930203
18,New Haven,19,2.1154403842105265,39.73819842214622,0.025999740002599973,N/A,N/A
19,Danbury,12,50.367258916666664,51.02107295902391,0.023339766602333976,N/A,N/A
20,Carolina,6,-11.228246666666669,42.06878511494718,0.008399916000839992,N/A,N/A
21,Pomona,19,51.25347431578948,45.1818981219363,0.03849961500384996,N/A,N/A
22,Saint Louis,27,38.75380992222222,124.71724340864182,0.04032959670403296,[0.         0.12790698 0.55813953 0.27906977 0.         0.03488372],0.4302325581395345
23,Antioch,8,-30.96722895,105.20650584427489,0.012859871401285987,N/A,N/A
24,West Jordan,10,-19.278176100000003,71.60574675099527,0.02799972000279997,N/A,N/A
25,Azusa,12,4.535705958333335,48.90613126963569,0.04548954510454895,N/A,N/A
26,Simi Valley,6,55.0978395,42.276944216578165,0.03296967030329697,N/A,N/A
27,Gaithersburg,13,39.6236122923077,96.79278490196914,0.03347966520334797,N/A,N/A
28,Bell Gardens,3,107.63303499999999,22.090419261991155,0.013019869801301986,N/A,N/A
